HMY,HPROPERTY,HOWNER,DPERCENT,DINVESTMENT,DINVESTDATE,SREMARKS,dShares,dIncome,dDepreciation,dTaxCredit,dStateCredit,Stype,hForeignDb,sExtReference,tRowVersion
77,85,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE37B
78,86,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE382
79,87,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE389
80,88,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE390
81,89,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE397
82,90,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE39E
83,91,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE3A5
84,92,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE3AC
85,93,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE3B3
86,94,28,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE3BA
87,95,33,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE3C1
88,96,29,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE3C8
89,97,30,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE3CF
90,98,31,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BDE3D6
91,99,137,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BED630
92,100,116,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BED637
93,101,119,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BED63E
94,102,115,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BED645
95,103,118,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BED64C
96,104,117,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BED653
97,105,114,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BED65A
98,106,141,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BED661
99,107,154,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BED668
540,563,107,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3645
541,564,137,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF364E
542,565,137,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3657
543,566,137,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3660
544,567,116,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3669
545,568,116,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3672
546,569,116,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF367B
547,570,119,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3684
548,571,119,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF368D
549,572,119,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3696
550,573,115,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF369F
551,574,115,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36A8
552,575,115,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36B1
553,576,118,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36BA
554,577,118,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36C3
555,578,118,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36CC
556,579,141,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36D5
557,580,141,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36DE
558,581,141,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36E7
559,582,33,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36F0
560,583,33,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF36F9
561,584,33,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3703
562,585,117,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF370C
563,586,117,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3715
564,587,114,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF371E
565,588,114,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3727
566,589,114,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3730
567,590,108,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3739
568,591,110,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3742
569,592,111,100,0,NULL,,0,0,0,0,0,NULL,NULL,NULL,0x00000000012A2589
570,593,125,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3754
571,594,131,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF375D
572,595,135,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3766
573,596,126,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF376F
574,597,137,100,0,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,0x0000000000BF3778
