HMY,ITYPE,HPOINTER,DTDATE,DSQFT0,DSQFT1,DSQFT2,DSQFT3,DSQFT4,DSQFT5,DSQFT6,DSQFT7,DSQFT8,DSQFT9,DSQFT10,DSQFT11,DSQFT12,DSQFT13,DSQFT14,DSQFT15,sNotes,TDtDate,hUserCreatedBy,dtCreated,hUserModifiedBy,dtLastModified,hForeignDb,sExtReference,hCopyFrom,tRowVersion
1,4,256,00:00.0,4335,4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.2,22,50:35.2,NULL,NULL,NULL,0x0000000000C931DD
2,4,257,00:00.0,4182,4182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.2,22,50:35.2,NULL,NULL,NULL,0x0000000000C931DF
3,4,257,00:00.0,3325,3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Demise for Kids w/o Limits,NULL,22,50:35.2,22,50:35.2,NULL,NULL,NULL,0x0000000000C931E1
4,4,257,00:00.0,3330,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Titan Glass New lease expansion,NULL,22,50:35.2,22,50:35.2,NULL,NULL,NULL,0x0000000000C931E3
5,4,258,00:00.0,857,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Demise for Kids w/o Limits lease,NULL,22,50:35.2,22,50:35.2,NULL,NULL,NULL,0x0000000000C931E5
6,4,259,00:00.0,860,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.2,22,50:35.2,NULL,NULL,NULL,0x0000000000C931E7
7,4,260,00:00.0,6949,6949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.2,22,50:35.2,NULL,NULL,NULL,0x0000000000C931E9
8,4,260,00:00.0,6689,6689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.2,22,50:35.2,NULL,NULL,NULL,0x0000000000C931EB
9,4,261,00:00.0,857,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.2,22,50:35.2,NULL,NULL,NULL,0x0000000000C931ED
10,4,261,00:00.0,874,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C931EF
11,4,261,00:00.0,1769,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C931F1
12,4,262,00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C931F3
13,4,263,00:00.0,4284,4284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,141,00:52.3,NULL,NULL,NULL,0x00000000022182D1
14,4,264,00:00.0,3805,3805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,2,13:31.0,NULL,NULL,NULL,0x0000000001E20BC2
15,4,265,00:00.0,3864,3864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,141,01:30.1,NULL,NULL,NULL,0x00000000022182D3
16,4,266,00:00.0,4189,4189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C931FB
17,4,266,00:00.0,3277,3277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alberta Stone new lease,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C931FD
18,4,267,00:00.0,818,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Per J. Kwong request 7/20/21,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C931FF
19,4,268,00:00.0,8472,8472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,141,02:08.2,NULL,NULL,NULL,0x00000000022182D5
20,4,269,00:00.0,4227,4227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C93204
21,4,269,00:00.0,3388,3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J. Kwong request 07/20/21,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C93206
22,4,270,00:00.0,878,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C93208
23,4,271,00:00.0,3338,3338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.3,22,50:35.3,NULL,NULL,NULL,0x0000000000C9320A
24,4,272,00:00.0,863,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,22,50:35.4,22,50:35.4,NULL,NULL,NULL,0x0000000000C9320C
